"","SpeciesAccepted","species","SpeciesAuthor","CommonName","Kingdom","Phylum","Class","Order","Family","Genus","Species","Infraspecies","InfraspeciesType","OrganismType","DicotMonoc","AngioGymno","max_height","Growth.form.Raunkiaer","Growth.form.author"
"1","Actaea spicata","Actaea spicata","Actaea_spicata",NA,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Actaea","spicata",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.8,"Hemicryptophyte","No clonal rhyzome"
"2","Aesculus turbinata","Aesculus turbinata","Aesculus_turbinata","Japanese horse chestnut","Plantae","Magnoliophyta","Magnoliopsida","Sapindales","Sapindaceae","Aesculus","turbinata",NA,NA,"Tree","Eudicot","Angiosperm",30,"Mesophanerophyte",""
"3","Agrimonia eupatoria","Agrimonia eupatoria","Agrimonia_eupatoria",NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Agrimonia","eupatoria",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",1.5,"Hemicryptophyte","Rhyzome"
"4","Alnus incana subsp. rugosa","Alnus incana","Alnus_incana_subsp._rugosa","Speckled alder","Plantae","Magnoliophyta","Magnoliopsida","Fagales","Betulaceae","Alnus","incana","rugosa","subspecies","Tree","Eudicot","Angiosperm",15,"Mesophanerophyte",""
"5","Anemone patens","Anemone patens","Anemone_patens","Prairie crocus","Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Anemone","patens",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.35,"Geophyte","Rhizome"
"6","Anthyllis vulneraria","Anthyllis vulneraria","Anthyllis_vulneraria_subsp._alpicola","Kidney vetch","Plantae","Magnoliophyta","Magnoliopsida","Fabales","Leguminosae","Anthyllis","vulneraria",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",1,"Hemicryptophyte","Rosette"
"7","Aquilegia chrysantha","Aquilegia chrysantha","Aquilegia_chrysantha",NA,"Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Aquilegia","chrysantha",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.4,"Hemicryptophyte","Rosette"
"8","Artemisia genipi","Artemisia genipi","Artemisia_genipi",NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Compositae","Artemisia","genipi",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.15,"Hemicryptophyte",""
"9","Atriplex canescens","Atriplex canescens","Atriplex_canescens","Four-winged salt-bush","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","Atriplex","canescens",NA,NA,"Shrub","Eudicot","Angiosperm",1.5,"Nanophanerophyte","Shrub"
"10","Callitris columellaris","Callitris columellaris","Callitris_intratropica","Northern cypress pine","Plantae","Pinophyta","Pinopsida","Pinales","Cupressaceae","Callitris","columellaris",NA,NA,"Tree",NA,"Gymnosperm",30,"Megaphanerophyte",NA
"11","Calochortus macrocarpus","Calochortus macrocarpus","Calochortus_macrocarpus",NA,"Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Calochortus","macrocarpus",NA,NA,"Herbaceous perennial","Monocot","Angiosperm",0.54864,"Geophyte","Bulb"
"12","Carlina vulgaris","Carlina vulgaris","Carlina_vulgaris_2",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Carlina","vulgaris",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.6,"Hemicryptophyte","Rosette"
"13","Castanea dentata","Castanea dentata","Castanea_dentata","American chestnut","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanea","dentata",NA,NA,"Tree","Eudicot","Angiosperm",35.052,"Megaphanerophyte","Monopodial"
"14","Chaerophyllum aureum","Chaerophyllum aureum","Chaerophyllum_aureum","Golden chervil","Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Chaerophyllum","aureum",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",1.05,"Hemicryptophyte",""
"15","Cirsium acaule","Cirsium acaule","Cirsium_acaule",NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Compositae","Cirsium","acaule",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.3,"Hemicryptophyte","spinose-dentate lobes"
"16","Cirsium pannonicum","Cirsium pannonicum","Cirsium_pannonicum",NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Compositae","Cirsium","pannonicum",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.8,"Hemicryptophyte","Spinules"
"17","Clidemia hirta","Clidemia hirta","Clidemia_hirta",NA,"Plantae","Magnoliophyta","Magnoliopsida","Myrtales","Melastomataceae","Clidemia","hirta",NA,NA,"Shrub","Eudicot","Angiosperm",0.623,"Nanophanerophyte","densely  branching,  slightly woody shrub that grows to a maximum of 2â€“3 m in  height "
"18","Cochlearia pyrenaica","Cochlearia pyrenaica","Cochlearia_pyrenaica",NA,"Plantae","Magnoliophyta","Magnoliopsida","Brassicales","Brassicaceae","Cochlearia","pyrenaica",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.3,"Hemicryptophyte",""
"19","Colchicum autumnale","Colchicum autumnale","Colchicum_autumnale_2","Autumn crocus","Plantae","Tracheophyta","Liliopsida","Liliales","Colchicaceae","Colchicum","autumnale",NA,NA,"Herbaceous perennial","Monocot","Angiosperm",0.45,"Geophyte",""
"20","Corallorhiza trifida","Corallorhiza trifida","Corallorhiza_trifida",NA,"Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Corallorhiza","trifida",NA,NA,"Herbaceous perennial","Monocot","Angiosperm",0.25,"Geophyte",""
"21","Cornus florida","Cornus florida","Cornus_florida","Eastern flowering dogwood","Plantae","Magnoliophyta","Magnoliopsida","Cornales","Cornaceae","Cornus","florida",NA,NA,"Shrub","Eudicot","Angiosperm",16.8,"Mesophanerophyte",""
"22","Dracocephalum austriacum","Dracocephalum austriacum","Dracocephalum_austriacum_2","Austrian dragonbead","Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Dracocephalum","austriacum",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.4,"Chamaephyte",""
"23","Echium vulgare","Echium vulgare","Echium_vulgare",NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Boraginaceae","Echium","vulgare",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.9,"Hemicryptophyte","Rosette, facultative biennial"
"24","Eryngium alpinum","Eryngium alpinum","Eryngium_alpinum",NA,"Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Eryngium","alpinum",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",1,"Hemicryptophyte",""
"25","Fritillaria meleagris","Fritillaria meleagris","Fritillaria_meleagris",NA,"Plantae","Magnoliophyta","Liliopsida","Liliales","Liliaceae","Fritillaria","meleagris",NA,NA,"Herbaceous perennial","Monocot","Angiosperm",0.5,"Geophyte","Bulb"
"26","Fumana procumbens","Fumana procumbens","Fumana_procumbens",NA,"Plantae","Magnoliophyta","Magnoliopsida","Malvales","Cistaceae","Fumana","procumbens",NA,NA,"Shrub","Eudicot","Angiosperm",0.4,"Nanophanerophyte","woody shrub"
"27","Gentiana pneumonanthe","Gentiana pneumonanthe","Gentiana_pneumonanthe","Marsh gentian","Plantae","Magnoliophyta","Magnoliopsida","Gentianales","Gentianaceae","Gentiana","pneumonanthe",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",8,"Hemicryptophyte","Rosette"
"28","Geranium sylvaticum","Geranium sylvaticum","Geranium_sylvaticum",NA,"Plantae","Magnoliophyta","Magnoliopsida","Geraniales","Geraniaceae","Geranium","sylvaticum",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.8,"Hemicryptophyte","Multiple Flowering Stalks"
"29","Geum rivale","Geum rivale","Geum_rivale",NA,"Plantae","Magnoliophyta","Magnoliopsida","Rosales","Rosaceae","Geum","rivale",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.9144,"Hemicryptophyte","Clonal rhyzome"
"30","Heracleum mantegazzianum","Heracleum mantegazzianum","Heracleum_mantegazzianum","Giant hogweed","Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Heracleum","mantegazzianum",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",5.5,"Hemicryptophyte","Rosette"
"31","Hilaria mutica","Hilaria mutica","Hilaria_mutica","Tussock grass","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Hilaria","mutica",NA,NA,"Herbaceous perennial","Monocot","Angiosperm",0.70104,"Hemicryptophyte","Tussock"
"32","Ipomopsis aggregata","Ipomopsis aggregata","Ipomopsis_aggregata","Scarlet gilia","Plantae","Magnoliophyta","Magnoliopsida","Solanales","Polemoniaceae","Ipomopsis","aggregata",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.72,"Hemicryptophyte","Rosette"
"33","Linum catharticum","Linum catharticum","Linum_catharticum",NA,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Linaceae","Linum","catharticum",NA,NA,"Annual","Eudicot","Angiosperm",0.3,"Hemicryptophyte",""
"34","Linum flavum","Linum flavum","Linum_flavum",NA,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Linaceae","Linum","flavum",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.5,"Chamaephyte",""
"35","Linum tenuifolium","Linum tenuifolium","Linum_tenuifolium",NA,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Linaceae","Linum","tenuifolium",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.45,"Chamaephyte",""
"36","Manilkara zapota","Manilkara zapota","Manilkara_zapota",NA,"Plantae","Magnoliophyta","Magnoliopsida","Ericales","Sapotaceae","Manilkara","zapota",NA,NA,"Tree","Eudicot","Angiosperm",30.4,"Mesophanerophyte","Monopodial"
"37","Molinia caerulea","Molinia caerulea","Molinia_caerulea","Purple moor grass","Plantae","Magnoliophyta","Liliopsida","Poales","Poaceae","Molinia","caerulea",NA,NA,"Herbaceous perennial","Monocot","Angiosperm",2,"Hemicryptophyte","Tussock"
"38","Narcissus pseudonarcissus","Narcissus pseudonarcissus","Narcissus_pseudonarcissus","Wild daffodil","Plantae","Magnoliophyta","Liliopsida","Liliales","Amaryllidaceae","Narcissus","pseudonarcissus",NA,NA,"Herbaceous perennial","Monocot","Angiosperm",0.4,"Geophyte","Bulbous geophyte"
"39","Neotinea ustulata","Neotinea ustulata","Neotinea_ustulata","Burnt orchid","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Neotinea","ustulata",NA,NA,"Herbaceous perennial","Monocot","Angiosperm",0.4,"Geophyte","tuberous"
"40","Orchis purpurea","Orchis purpurea","Orchis_purpurea","Lady orchid","Plantae","Magnoliophyta","Liliopsida","Asparagales","Orchidaceae","Orchis","purpurea",NA,NA,"Herbaceous perennial","Monocot","Angiosperm",1,"Geophyte","Tuberous, Rhizome"
"41","Oxandra asbeckii","Oxandra asbeckii","Oxandra_asbeckii",NA,"Plantae","Magnoliophyta","Magnoliopsida","Magnoliales","Annonaceae","Oxandra","asbeckii",NA,NA,"Tree","Eudicot","Angiosperm",24,"Mesophanerophyte",""
"42","Pimpinella saxifraga","Pimpinella saxifraga","Pimpinella_saxifraga",NA,"Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Pimpinella","saxifraga",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",1,"Hemicryptophyte",""
"43","Pinguicula alpina","Pinguicula alpina","Pinguicula_alpina",NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lentibulariaceae","Pinguicula","alpina",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.12,"Geophyte","rosette, geophyte"
"44","Plantago coronopus","Plantago coronopus","Plantago_coronopus_2",NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago","coronopus",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.3,"Hemicryptophyte","Rosette, sometimes biennial"
"45","Plantago media","Plantago media","Plantago_media",NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago","media",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.8,"Hemicryptophyte","Rosette"
"46","Primula elatior","Primula elatior","Primula_elatior","Oxlip","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Primulaceae","Primula","elatior",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.3,"Hemicryptophyte","Rosette"
"47","Primula farinosa","Primula farinosa","Primula_farinosa","Bird's-eye primrose","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Primulaceae","Primula","farinosa",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.2,"Hemicryptophyte","Rosette"
"48","Primula veris","Primula veris","Primula_veris_2","Cowslip","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Primulaceae","Primula","veris",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.3,"Hemicryptophyte","Rosette"
"49","Primula vulgaris","Primula vulgaris","Primula_vulgaris_3","English primrose","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Primulaceae","Primula","vulgaris",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.16,"Megaphanerophyte","Rosette"
"50","Ranunculus peltatus","Ranunculus peltatus","Ranunculus_peltatus","Buttercup","Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Ranunculus","peltatus",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.9,"Hydrophyte",""
"51","Rhododendron maximum","Rhododendron maximum","Rhododendron_maximum",NA,"Plantae","Magnoliophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","maximum",NA,NA,"Shrub","Eudicot","Angiosperm",10,"Nanophanerophyte",""
"52","Rhododendron ponticum","Rhododendron ponticum","Rhododendron_ponticum",NA,"Plantae","Magnoliophyta","Magnoliopsida","Ericales","Ericaceae","Rhododendron","ponticum",NA,NA,"Tree","Eudicot","Angiosperm",8,"Nanophanerophyte",""
"53","Rumex rupestris","Rumex rupestris","Rumex_rupestris",NA,"Plantae","Magnoliophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex","rupestris",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.7,"Geophyte",""
"54","Sanicula europaea","Sanicula europaea","Sanicula_europaea",NA,"Plantae","Magnoliophyta","Magnoliopsida","Apiales","Apiaceae","Sanicula","europaea",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.6,"Chamaephyte","Rhizome"
"55","Sarracenia purpurea","Sarracenia purpurea","Sarracenia_purpurea_2","Northern pitcher plant","Plantae","Magnoliophyta","Magnoliopsida","Ericales","Sarraceniaceae","Sarracenia","purpurea",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.4,"Helophyte","Rosette"
"56","Saussurea medusa","Saussurea medusa","Saussurea_medusa","Snow Lotus","Plantae","Magnoliophyta","Magnoliopsida","Asterales","Compositae","Saussurea","medusa",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.07,"Hemicryptophyte",""
"57","Saxifraga aizoides","Saxifraga aizoides","Saxifraga_aizoides",NA,"Plantae","Magnoliophyta","Magnoliopsida","Saxifragales","Saxifragaceae","Saxifraga","aizoides",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.2,"Hemicryptophyte",""
"58","Scorzonera hispanica","Scorzonera hispanica","Scorzonera_hispanica",NA,"Plantae","Magnoliophyta","Magnoliopsida","Asterales","Compositae","Scorzonera","hispanica",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",1.15,"Hemicryptophyte","Rosette"
"59","Sonchus pustulatus","Sonchus pustulatus","Sonchus_pustulatus",NA,"Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Sonchus","pustulatus",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.2,"Hemicryptophyte",NA
"60","Succisa pratensis","Succisa pratensis","Succisa_pratensis_3",NA,"Plantae","Magnoliophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","Succisa","pratensis",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",1,"Hemicryptophyte","Rosette"
"61","Thymus vulgaris","Thymus vulgaris","Thymus_webbianus",NA,"Plantae","Magnoliophyta","Magnoliopsida","Lamiales","Lamiaceae","Thymus","vulgaris",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.69,"Chamaephyte",NA
"62","Trillium grandiflorum","Trillium grandiflorum","Trillium_grandiflorum",NA,"Plantae","Magnoliophyta","Liliopsida","Liliales","Melanthiaceae","Trillium","grandiflorum",NA,NA,"Herbaceous perennial","Monocot","Angiosperm",0.2,"Geophyte","Non-clonal"
"63","Trollius europaeus","Trollius europaeus","Trollius_europaeus",NA,"Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Trollius","europaeus",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.6,"Hemicryptophyte",NA
"64","Trollius laxus","Trollius laxus","Trollius_laxus_2","Globeflower","Plantae","Magnoliophyta","Magnoliopsida","Ranunculales","Ranunculaceae","Trollius","laxus",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.178,"Hemicryptophyte",""
"65","Viola elatior","Viola elatior","Viola_elatior",NA,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","elatior",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.5,"Hemicryptophyte","hemicryptophytes"
"66","Viola pumila","Viola pumila","Viola_pumila",NA,"Plantae","Magnoliophyta","Magnoliopsida","Malpighiales","Violaceae","Viola","pumila",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.15,"Hemicryptophyte","hemicryptophytes"
"67","Vitaliana primuliflora","Vitaliana primuliflora","Androsace_vitaliana",NA,"Plantae","Magnoliophyta","Magnoliopsida","Ericales","Primulaceae","Vitaliana","primuliflora",NA,NA,"Herbaceous perennial","Eudicot","Angiosperm",0.05,"Hemicryptophyte",NA
